title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,is_premium,premium_type,premium_indicators,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,photo_count,owner_name,contact_options,description,carpet_area,builtup_area,super_area,plot_area,min_price,max_price,is_price_range,data_quality_score,validation_issues,is_valid
3 BHK Apartment for Sale in Sompura Bangalore,1.92 Cr,1347 sqft,https://www.magicbricks.com/suyug-the-1-sompura-bangalore-pdpid-4d4235343238373731,1,1,2025-10-04 20:28:20.391688,Posted: Yesterday,2025-10-03 12:00:00.000000,False,standard,[],3,2,3 BHK,Unfurnished,10 out of 32,Sompura,Suyug The 1,Under Construction,East,1 Covered,Power Of Attorney,New Property,"Garden/Park, Pool, Main Road",6+Photos,Builder: Suyug Constructions,"Contact Builder, Get Phone No.",The best unit with east facing. Ready for booking. It is going to be a Landmark project. Please do visit once ASAP.The 3 BHK apartment is located in a well-connected area of Sompura. It is located in Suyug The 1. This top-notch 3 BHK property comes with 1 covered parking space for your vehicle. This is a sale apartment. This under construction flat is offered at a price of ₹1.92 Cr. You will be able to take possession of the flat on Mar '28. The flat is unfurnished and comes with all basic facil,1347 sqft,,,,,,False,84.8,[],True
3 BHK Apartment for Sale in Phase 8th JP Nagar Bangalore,2.10 Cr,1103 sqft,https://www.magicbricks.com/epitome-elan-jp-nagar-phase-8-bangalore-pdpid-4d4235313835383637,1,2,2025-10-04 20:28:20.398357,Posted: Yesterday,2025-10-03 12:00:00.000000,True,premium,['text_premium'],3,1,3 BHK,Unfurnished,4 out of 13,Phase 8th JP Nagar,Epitome Elan,Ready to Move,East,1 Covered,Power Of Attorney,New Property,"Garden/Park, Pool, Main Road",5+Photos,Builder: Epitome Builders Pvt Ltd,"Get Info, Request Callback","Its an East Facing Unit Available for Registration and Start the interior work to move in soon. Great ventilation, Good sun Light through out the day.This well maintained 3 BHK residence is currently offered for sale in JP Nagar Phase 8, Bangalore. Located in Epitome Elan, this flat is equipped with premium facilities. This 3 BHK flat on sale comes with  space of 1 covered car parking for your vehicle. This apartment for sale is a great choice. This ready to move apartment in the JP Nagar Phase ",1103 sqft,,,,,,False,90.9,[],True
Plot/Land for Sale in Thambu Chetty Palya Bangalore,2.32 Cr,3100 sqft,,1,3,2025-10-04 20:28:20.407847,Updated today,2025-10-04 12:00:00.000000,False,standard,[],,,Plot,,1,Thambu Chetty Palya,,Resale,62 m,,Freehold,Resale,,2+Photos,Owner: Subbareddy Rapuru,"Contact Owner, Get Phone No.","The property is near anandapura circle, tc palaya main road. It is within the LVS excellency apartments and enclave. It is also near K.N.S.S. Vidyamandir English high school. The plot is facing west, and is in a good locality with good roads, groundwater, and a good location overall.",,,,3100 sqft,,,False,63.6,[],True
"2 BHK Apartment for Sale in Akshya Nagar, Ramamurthi Nagar Bangalore",67 Lac,890 sqft,https://www.magicbricks.com/lavender-akshya-nagar-bangalore-pdpid-4d4235303739373938,1,4,2025-10-04 20:28:20.412738,Updated today,2025-10-04 12:00:00.000000,False,standard,[],2,2,2 BHK,Unfurnished,2 out of 3,Nagar BangaloreLavenderCarpet,Lavender,Ready to Move,North,,Co-operative Society,Resale,,13+Photos,Owner: Saurabh Wankhede Saurabh Wankhede,"Contact Owner, Get Phone No.","Akshya Nagar, Bangalore has a 2 BHK apartment for sale with various amenities. The property belongs to Lavender which is 13 years old. This flat for resale is the perfect property for you. This ready to move flat located in Akshya Nagar is available at the price of ₹67 Lac. The flat is unfurnished. lavender is close to many reputed schools, top hospitals and supermkts are some major landmarks near the apartment. Positioned on 2 floor, the property spans carpet area 890 sqft. This property is equ",890 sqft,,,,,,False,78.8,[],True
3 BHK Apartment for Sale in Tumkur Road Bangalore,2.10 Cr,1427 sqft,https://www.magicbricks.com/prestige-jindal-city-tumkur-road-bangalore-pdpid-4d4235313134303135,1,5,2025-10-04 20:28:20.417211,Updated today,2025-10-04 12:00:00.000000,False,standard,[],2,1,3 BHK,Furnished,12 out of 28,Tumkur Road,Prestige Jindal City,Ready to Move,North,,Freehold,Resale,Main Road,14+Photos,Owner: Roopa,"Contact Owner, Get Phone No.",3 BHK Apartment for Sale in Tumkur Road Bangalore. Priced at ₹2.10 Cr. Area: 1427 sqft. Status: Ready to Move. Located in Tumkur Road. Project: Prestige Jindal City,,,1427 sqft,,,,False,81.8,[],True
2 BHK Apartment for Sale in Phase 1 Electronics City Bangalore,5.89 Cr,1160 sqft,,1,6,2025-10-04 20:28:20.422824,Updated today,2025-10-04 12:00:00.000000,False,standard,[],2,,2 BHK,Unfurnished,3 out of 5,Phase 1 Electronics City,Electronics City,Ready to Move,,,,Resale,,6+Photos,Owner: Naren,"Contact Owner, Get Phone No.","Electronics City Phase 1, Bangalore has a 2 BHK apartment for sale with various amenities. This flat for resale is a great choice for you. This ready to move property in Electronics City Phase 1 is available at a cost of ₹5.89 Cr. This property is unfurnished. Positioned on 3 floor, the property spans covered area 1160 sqft.",,,1160 sqft,,,,False,66.7,[],True
2 BHK Apartment for Sale in Panathur Bangalore,85 Lac,1134 sqft,,1,7,2025-10-04 20:28:20.429211,Updated today,2025-10-04 12:00:00.000000,False,standard,[],2,1,2 BHK,Furnished,2 out of 4,Panathur,,Ready to Move,,,,Resale,,4+Photos,Owner: Dinesh V,"Contact Owner, Get Phone No.","An Elegant 2 BHK flat located in Panathur, Bangalore is now available for sale. This flat is available as a resale property. Costing ₹85 Lac, this ready to move apartment in Panathur is a great buy. This property is furnished. Occupying 2 floor, the flat offers carpet area 1134 sqft.",1134 sqft,,,,,,False,66.7,[],True
5 BHK House for Sale in Bannerghatta Main Road Bangalore,4.50 Cr,5600 sqft,,1,8,2025-10-04 20:28:20.436317,Updated today,2025-10-04 12:00:00.000000,False,standard,[],4,2,5 BHK,Furnished,1 out of 3,Bannerghatta Main Road,,Ready to Move,North,,Freehold,Resale,Main Road,7+Photos,Owner: sabrish sabrish,"Contact Owner, Get Phone No.","This 5 BHK house is available for sale in Bannerghatta Main Road, Bangalore and comes with all modern amenities. Smartly situated, this individual house on sale faces north. This ready to move property in Bannerghatta Main Road is available for a price of ₹4.50 Cr. This individual 5 BHK house for sale is located at Bannerghatta Main Road, Bangalore - South, Karnataka.",5600 sqft,,,,,,False,75.8,[],True
3 BHK Apartment for Sale in Phase 1 Electronics City Bangalore,1.50 Cr,1375 sqft,https://www.magicbricks.com/arattukulam-aratt-requizza-electronics-city-phase-1-bangalore-pdpid-4d4235303233363839,1,9,2025-10-04 20:28:20.440854,Updated today,2025-10-04 12:00:00.000000,False,standard,[],3,2,3 BHK,Semi-Furnished,Ground out of 15,Phase 1 Electronics City,Arattukulam Aratt Requizza,Ready to Move,North,,Freehold,Resale,Garden/Park,14+Photos,Owner: Sudhir Deshmukh,"Contact Owner, Get Phone No.",3 BHK Apartment for Sale in Phase 1 Electronics City Bangalore. Priced at ₹1.50 Cr. Area: 1375 sqft. Status: Ready to Move. Located in Phase 1 Electronics City. Project: Arattukulam Aratt Requizza,1375 sqft,,,,,,False,81.8,[],True
5 BHK House for Sale in diamond college morgondanahalli Bangalore,1.95 Cr,1100 sqft,,1,10,2025-10-04 20:28:20.447167,Updated today,2025-10-04 12:00:00.000000,False,standard,[],5,,5 BHK,Furnished,,diamond college morgondanahalli,,Ready to Move,,,,Resale,,1Photo,Owner: Kumar,"Contact Owner, Get Phone No.","5 bedroom house is immediately available for sale in Bangalore, diamond college morgondanahalli. Jul '25 is the possession date of the house. This beautiful independent house in diamond college morgondanahalli is ready to move. Get the house at a price of ₹1.95 Cr. To visit this 5 BHK house for sale, you can reach at this address:Bangalore, Karnataka.",1100 sqft,,,,,,False,60.6,[],True
